"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"JimBarnes","BOS","12","C","6-8","210 lbs","Texas-El Paso","USA","76105"
"MarvinBarnes","LAC","27","F","6-9","210 lbs","Providence","USA","76104"
"MattBarnes","LAC","22","F","6-7","226 lbs","UCLA","USA","2440"
"ScottieBarnes","TOR","4","F","6-7","225 lbs","Florida State","USA","1630567"
"DickBarnett","NYK","12","G","6-4","190 lbs","Tennessee State","USA","76107"
"JimBarnett","GSW","33","G","6-4","170 lbs","Oregon","USA","76106"
"JohnBarnhill","ATL","11","G","6-1","180 lbs","Tennessee State","USA","76108"
"NortonBarnhill","OKC","10","G","6-4","205 lbs","Washington State","USA","76109"
"LeoBarnhorst","INO","8-15","F","6-4","190 lbs","Notre Dame","USA","76110"
"JohnBarr","BOM","","F","6-3","205 lbs","Penn State","USA","76111"
"MikeBarr","SAC","34","G","6-3","180 lbs","Duquesne","USA","76112"
"ThomasBarr","SAC","19","G","6-4","195 lbs","Duquesne","USA","76113"
"AndreBarrett","HOU","11","G","5-10","173 lbs","Seton Hall","USA","2857"
"ErnieBarrett","BOS","23","G","5-8","180 lbs","Kansas State","USA","76114"
"RJBarrett","NYK","9","F-G","6-6","214 lbs","Duke","Canada","1629628"
"EarlBarron","MIA","30","F-C","7-0","250 lbs","Memphis","USA","2853"
"DanaBarros","BOS","","G","5-11","165 lbs","Boston College","USA","344"
"BrentBarry","OKC","17","G","6-7","210 lbs","Oregon State","USA","699"
"DrewBarry","ATL","10","G","6-5","191 lbs","Georgia Tech","USA","1003"
"JonBarry","MIL","20","G","6-5","210 lbs","Georgia Tech","USA","468"
"RickBarry","GSW","24","F","6-7","205 lbs","Miami","USA","600013"
"EdBartels","WAS","","F","6-6","195 lbs","North Carolina State","USA","76117"
"VicBartolome","GSW","20","C","7-0","230 lbs","Oregon State","USA","76118"
"WillBarton","WAS","5","G","6-5","181 lbs","Memphis","USA","203115"
"EddieBasden","CHI","13","G","6-5","215 lbs","North Carolina-Charlotte","USA","101188"
"JerryBaskerville","PHI","44","F","6-7","190 lbs","Temple","USA","76119"
"BrandonBass","BOS","30","F","6-8","250 lbs","Louisiana State","USA","101138"
"ParisBass","PHX","","F","6-8","200 lbs","Detroit Mercy","USA","1628238"
"TimBassett","BKN","21","F","6-8","225 lbs","Georgia","USA","76120"
"CharlesBassey","PHI","23","C-F","6-9","230 lbs","Western Kentucky","Nigeria","1629646"
"MaceoBaston","IND","9","F","6-10","230 lbs","Michigan","USA","1766"
"MengkeBateer","DEN","14","C","6-11","290 lbs","Beijing","China","2370"
"BillyrayBates","POR","35","G","6-4","210 lbs","Kentucky State","USA","76121"
"KeitaBates-Diop","SAS","31","F","6-8","229 lbs","Ohio State","USA","1628966"
"EstebanBatista","ATL","11","F-C","6-10","268 lbs","Trouville","Uruguay","101212"
"MikeBatiste","MEM","33","F","6-8","225 lbs","Arizona State","USA","2471"
"TonyBattie","BOS","4","C","6-11","240 lbs","Texas Tech","USA","1499"
"ShaneBattier","MEM","31","F","6-8","220 lbs","Duke","USA","2203"
"JohnBattle","ATL","10","G","6-2","175 lbs","Rutgers","USA","174"
"KennyBattle","PHX","8","G","6-6","210 lbs","Illinois","USA","76123"
"DaveBatton","WAS","45","C","6-10","240 lbs","Notre Dame","USA","76124"
"NicolasBatum","LAC","33","G-F","6-8","230 lbs","Le Mans","France","201587"
"JohnnyBaum","CHI","14","F","6-5","200 lbs","Temple","USA","76125"
"FrankieBaumholtz","CLR","","G","5-10","170 lbs","Ohio","USA","76126"
"LonnyBaxter","CHI","35","F","6-8","260 lbs","Maryland","USA","2437"
"JerrydBayless","MIL","8","G","6-3","200 lbs","Arizona","USA","201573"
"ElginBaylor","LAL","22","F","6-5","225 lbs","Seattle","USA","76127"
"AronBaynes","DET","46","C-F","6-10","260 lbs","Washington State","Australia","203382"
"SergeiBazarevich","ATL","5","G","6-2","168 lbs","Tofas S.K.","Russia","76128"
"KentBazemore","LAL","9","G-F","6-4","195 lbs","Old Dominion","USA","203145"
"DariusBazley","OKC","55","F","6-8","208 lbs","Princeton HS (OH)","USA","1629647"
"EdBeach","ATL","","F","6-3","200 lbs","West Virginia","USA","76129"
"BradleyBeal","WAS","3","G","6-4","207 lbs","Florida","USA","203078"
"ButchBeard","NYK","9","G","6-3","185 lbs","Louisville","USA","76130"
"RalphBeard","INO","","G","5-10","175 lbs","Kentucky","USA","76131"
"JeromeBeasley","MIA","24","F","6-9","237 lbs","North Dakota","USA","2602"
"MalikBeasley","UTA","5","G","6-4","187 lbs","Florida State","USA","1627736"
"MichaelBeasley","MIA","8","F","6-9","235 lbs","Kansas State","USA","201563"
"ZelmoBeaty","ATL","31","C","6-9","225 lbs","Prairie View A&M","USA","76133"
"RodrigueBeaubois","DAL","3","G","6-2","185 lbs","Cholet","France","201958"
"MarJonBeauchamp","MIL","","F","6-6","199 lbs","","USA","1630699"
"ByronBeck","DEN","40","C","6-9","225 lbs","Denver","USA","76134"
"CoreyBeck","CHA","15","G","6-3","200 lbs","Arkansas","USA","1133"
"ErnieBeck","GSW","12","G","6-4","190 lbs","Pennsylvania","USA","76136"
"MoeBecker","DEF","","","","","Duquesne","USA","76137"
"WilliamBedford","DET","0","C","7-0","225 lbs","Memphis","USA","76138"
"HankBeenders","PRO","6","C","6-5","185 lbs","Long Island-Brooklyn","USA","76139"
"RonBehagen","SAC","12","F","6-9","185 lbs","Minnesota","USA","76140"
"ElmerBehnke","ATL","","C","6-7","210 lbs","Bradley","USA","76141"
"MarcoBelinelli","SAS","18","G","6-5","220 lbs","","Italy","201158"
"CharlieBell","MIL","34","G","6-3","200 lbs","Michigan State","USA","2294"
"DennisBell","NYK","46","F","6-5","185 lbs","Drake","USA","76142"
"JordanBell","CHI","7","F","6-8","216 lbs","Oregon","USA","1628395"
"RajaBell","PHX","19","G","6-5","210 lbs","Florida International","U.S. Virgin Islands","1952"
"TroyBell","MEM","3","G","6-1","180 lbs","Boston College","USA","2559"
"WilliamBell","NYK","15","G","6-0","180 lbs","North Carolina State","USA","76143"
"WaltBellamy","ATL","8","C","6-10","225 lbs","Indiana","USA","76144"
"DeAndre'Bembry","MIL","95","G-F","6-5","210 lbs","St. Joseph's (PA)","USA","1627761"
"IrvBemoras","ATL","26","F","6-3","185 lbs","Illinois","USA","76145"
"LeonBenbow","CHI","5","G","6-4","185 lbs","Jacksonville","USA","76146"
"DraganBender","PHX","35","F","7-1","225 lbs","","Croatia","1627733"
"JonathanBender","IND","9","F","7-0","230 lbs","Picayune HS (MS)","USA","1886"
"JerrelleBenimon","UTA","","","","","Towson","USA","203968"
"BenoitBenjamin","LAC","00","C","7-0","265 lbs","Creighton","USA","104"
"CoreyBenjamin","CHI","25","G","6-6","205 lbs","Oregon State","USA","1736"
"AnthonyBennett","MIN","24","F","6-8","245 lbs","UNLV","Canada","203461"
"ElmerBennett","PHI","5","G","6-0","170 lbs","Notre Dame","USA","1120"
"MarioBennett","LAL","24","C-F","6-9","235 lbs","Arizona State","USA","712"
"MelBennett","IND","52","F","6-7","200 lbs","Pittsburgh","USA","76151"
"TonyBennett","CHA","25","G","6-0","175 lbs","Wisconsin-Green Bay","USA","76148"
"WinstonBennett","CLE","30","G","6-7","210 lbs","Kentucky","USA","76152"
"DavidBenoit","UTA","21","F","6-8","220 lbs","Alabama","USA","128"
"KeithBenson","GSW","34","F-C","6-11","240 lbs","Oakland","USA","202728"
"KentBenson","DET","54","C","6-11","235 lbs","Indiana","USA","76154"
"BenBentil","DAL","42","F","6-9","235 lbs","Providence","Ghana","1627791"
"GeneBerce","ATL","","G","5-11","175 lbs","Marquette","USA","76155"
"GaryBergen","NYK","18","C","6-8","210 lbs","Utah","USA","76156"
"RickyBerry","SAC","34","F","6-8","205 lbs","San Jose State","USA","76157"
"WalterBerry","SAS","6","F","6-8","215 lbs","St. John's","USA","76158"
"DairisBertans","NOP","9","G","6-4","200 lbs","Olimpia Milano","Latvia","1629541"
"DavisBertans","DAL","44","F","6-10","225 lbs","Baskonia","Latvia","202722"
"DelBeshore","CHI","1","G","5-11","165 lbs","California (PA)","USA","76159"
"HugoBesson","MIL","","G","6-1","196 lbs","","France","1630656"
"TravisBest","IND","6","G","5-11","182 lbs","Georgia Tech","USA","696"
