"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"KhemBirch","TOR","24","C","6-9","233 lbs","UNLV","Canada","203920"
"JabariBird","BOS","26","G","6-6","198 lbs","University of California, Berkeley","USA","1628444"
"JerryBird","NYK","7","F","6-6","210 lbs","Kentucky","USA","76168"
"LarryBird","BOS","33","F","6-9","220 lbs","Indiana State","USA","1449"
"OtisBirdsong","BKN","12","G","6-3","190 lbs","Houston","USA","76170"
"GaleBishop","GSW","11","F","6-3","195 lbs","Washington State","USA","76171"
"GogaBitadze","IND","88","C-F","7-0","250 lbs","Mega Basket","Georgia","1629048"
"BismackBiyombo","PHX","18","C","6-8","255 lbs","Baloncesto Fuenlabrada","DRC","202687"
"NemanjaBjelica","GSW","8","F","6-9","234 lbs","Fenerbahce","Serbia","202357"
"UweBlab","DAL","33","C","7-1","252 lbs","Indiana","USA","76172"
"CharlieBlack","DET","21","F","6-4","200 lbs","Kansas","USA","76173"
"NormanBlack","DET","","G","6-5","185 lbs","St. Joseph's (PA)","USA","76174"
"TarikBlack","LAL","28","F-C","6-9","250 lbs","Kansas","USA","204028"
"TomBlack","OKC","24","C","6-10","220 lbs","South Dakota State","USA","76175"
"RolandoBlackman","DAL","22","G","6-6","190 lbs","Kansas State","USA","76176"
"AlexBlackwell","LAL","30","F","6-6","250 lbs","Monmouth","USA","76180"
"CoryBlackwell","OKC","30","F","6-6","210 lbs","Wisconsin","USA","76177"
"JamesBlackwell","BOS","8","G","6-0","190 lbs","Dartmouth","USA","1806"
"NateBlackwell","SAS","3","G","6-4","170 lbs","Temple","USA","76179"
"DeJuanBlair","SAS","45","C-F","6-7","270 lbs","Pittsburgh","USA","201971"
"SteveBlake","POR","22","G","6-3","172 lbs","Maryland","USA","2581"
"MarqusBlakely","HOU","15","F","6-5","225 lbs","Vermont","USA","202392"
"AntonioBlakeney","CHI","9","G","6-4","192 lbs","Louisiana State","USA","1628469"
"WillBlalock","DET","8","G","6-0","205 lbs","Iowa State","USA","200807"
"GeorgeBlaney","NYK","15","G","6-1","175 lbs","Holy Cross","USA","76182"
"LanceBlanks","DET","21","G","6-4","190 lbs","Texas-Austin","USA","76183"
"RickyBlanton","CHI","17","F","6-7","215 lbs","Louisiana State","USA","76184"
"AndrayBlatche","WAS","0","C-F","6-11","260 lbs","South Kent HS (CT)","USA","101154"
"MookieBlaylock","ATL","10","G","6-1","185 lbs","Oklahoma","USA","302"
"EricBledsoe","POR","5","G","6-1","214 lbs","Kentucky","USA","202339"
"KeljinBlevins","POR","21","G","6-4","200 lbs","Montana State","USA","1629833"
"LeonBlevins","INO","","G","6-2","160 lbs","Arizona","USA","76186"
"JohnBlock","HOU","35","F","6-10","207 lbs","Southern California","USA","76187"
"MikeBloom","BAL","11","C","6-6","190 lbs","Temple","USA","76188"
"JaronBlossomgame","CLE","4","F","6-8","220 lbs","Clemson","USA","1628417"
"CorieBlount","CHI","44","F-C","6-10","242 lbs","Cincinnati","USA","916"
"MarkBlount","BOS","15","C-F","7-0","250 lbs","Pittsburgh","USA","1548"
"VanderBlue","BOS","12","G","6-4","200 lbs","Marquette","USA","203505"
"TrevonBluiett","UTA","5","G-F","6-6","198 lbs","Xavier","USA","1629129"
"RayBlume","CHI","22","G","6-4","185 lbs","Oregon State","USA","76189"
"NelsonBobb","GSW","5","G","6-0","170 lbs","Temple","USA","76190"
"TonyBobbitt","LAL","15","G","6-4","190 lbs","Cincinnati","USA","2800"
"ArlenBockhorn","SAC","11","G","6-4","200 lbs","Dayton","USA","76191"
"BuddyBoeheim","DET","","F","6-6","205 lbs","Syracuse","USA","1631205"
"TomBoerwinkle","CHI","18","C","7-0","265 lbs","Tennessee","USA","76192"
"KeithBogans","ORL","4","G-F","6-5","215 lbs","Kentucky","USA","2586"
"BogdanBogdanovic","ATL","13","G","6-6","225 lbs","Fenerbahce","Serbia","203992"
"BojanBogdanovic","UTA","44","F","6-7","226 lbs","Fenerbahce","Croatia","202711"
"MuggsyBogues","CHA","14","G","5-3","141 lbs","Wake Forest","USA","177"
"AndrewBogut","MIL","12","C","7-0","260 lbs","Utah","Australia","101106"
"EtdrickBohannon","LAC","41","F","6-9","235 lbs","Auburn-Montgomery","USA","1564"
"BolBol","ORL","10","C-F","7-2","220 lbs","Oregon","Sudan","1629626"
"ManuteBol","WAS","1","C","7-6","200 lbs","Bridgeport","USA","76195"
"JonahBolden","PHI","43","F","6-10","220 lbs","UCLA","Australia","1628413"
"MarquesBolden","CLE","24","C","6-10","249 lbs","Duke","USA","1629716"
"BillBolger","BAL","","F","6-5","205 lbs","Georgetown","USA","76196"
"LeandroBolmaro","UTA","9","F","6-6","200 lbs","FC Barcelona","Argentina","1630195"
"JoelBolomboy","UTA","21","F","6-9","235 lbs","Weber State","Ukraine","1627762"
"DougBolstorff","DET","8","G","6-4","195 lbs","Minnesota","USA","76197"
"George H.Bon Salle","WAS","33","F","6-8","220 lbs","Illinois","USA","76203"
"PhilBond","HOU","30","G","6-2","175 lbs","Louisville","USA","76198"
"WalterBond","UTA","20","G","6-5","200 lbs","Minnesota","USA","1603"
"JordanBone","ORL","18","G","6-3","180 lbs","Tennessee","USA","1629648"
"DexterBoney","PHX","10","G","6-4","185 lbs","UNLV","USA","1121"
"IsaacBonga","TOR","17","G","6-8","180 lbs","Skyliners Frankfurt","Germany","1629067"
"RonBonham","BOS","21","F","6-4","192 lbs","Cincinnati","USA","76201"
"AnthonyBonner","SAC","33","F","6-8","230 lbs","St. Louis","USA","41"
"MattBonner","SAS","15","C-F","6-10","235 lbs","Florida","USA","2588"
"DevinBooker","PHX","1","G","6-5","206 lbs","Kentucky","USA","1626164"
"MelvinBooker","GSW","5","G","6-2","185 lbs","Missouri","USA","511"
"TrevorBooker","WAS","20","F","6-8","228 lbs","Clemson","USA","202344"
"JoshBoone","BKN","2","F-C","6-10","240 lbs","Connecticut","USA","200767"
"RonBoone","SAC","24","G","6-2","200 lbs","Idaho State","USA","76204"
"CalvinBooth","OKC","52","C","6-11","230 lbs","Penn State","USA","1916"
"KeithBooth","CHI","22","F","6-6","226 lbs","Maryland","USA","1522"
"BobBoozer","SAC","20","F","6-8","215 lbs","Kansas State","USA","76206"
"CarlosBoozer","UTA","5","F","6-9","258 lbs","Duke","USA","2430"
"CurtisBorchardt","UTA","22","C","7-0","242 lbs","Stanford","USA","2414"
"JakeBornheimer","GSW","15","F","6-5","200 lbs","Muhlenberg","USA","76207"
"LazaroBorrell","OKC","11","F","6-8","220 lbs","Villa Clara","Cuba","1953"
"CosticBorsavage","GSW","19","C","6-8","220 lbs","Temple","USA","76209"
"VinceBoryla","NYK","12","F","6-5","210 lbs","Denver","USA","76210"
"ChrisBosh","MIA","1","F","6-11","235 lbs","Georgia Tech","USA","2547"
"JimBostic","DET","32","F","6-7","225 lbs","New Mexico State","USA","76211"
"BrandonBoston","LAC","4","G","6-6","188 lbs","Kentucky","USA","1630527"
"LawrenceBoston","WAS","4","F","6-8","225 lbs","Maryland","USA","76212"
"TomBoswell","BOS","33","F","6-8","220 lbs","South Carolina","USA","76213"
"ChrisBoucher","TOR","25","F-C","6-9","200 lbs","Oregon","Saint Lucia","1628449"
"JamesBouknight","CHA","5","G","6-4","190 lbs","Connecticut","USA","1630547"
"RubenBoumtje-Boumtje","POR","44","C","7-0","257 lbs","Georgetown","USA","2257"
"JamareeBouyea","MIA","","G","6-2","180 lbs","San Francisco","USA","1631123"
"DonBoven","DET","13","F","6-4","210 lbs","Western Michigan","USA","76214"
"CalBowdler","ATL","6","F","6-10","253 lbs","Old Dominion","USA","1898"
"BruceBowen","SAS","12","F","6-7","200 lbs","California State-Fullerton","USA","1477"
"RyanBowen","DEN","40","F","6-9","218 lbs","Iowa","USA","1763"
"BrianBowen II","IND","10","F-G","6-6","190 lbs","La Lumiere H.S.","USA","1628968"
"AnthonyBowie","ORL","13","G","6-6","200 lbs","Oklahoma","USA","194"
"SamBowie","BKN","31","C","7-1","235 lbs","Kentucky","USA","76217"
"IraBowman","PHI","11","G","6-5","195 lbs","Pennsylvania","USA","1085"
"KyBowman","GSW","12","G","6-1","187 lbs","Boston College","USA","1629065"
"NateBowman","NYK","17","C","6-10","230 lbs","Wichita State","USA","76219"
"DonnieBoyce","ATL","24","G","6-5","195 lbs","Colorado","USA","671"
"DennisBoyd","DET","11","G","6-1","175 lbs","Detroit","USA","76221"
"FredBoyd","PHI","4","G","6-2","180 lbs","Oregon State","USA","76222"
"KenBoyd","UTA","33","F","6-5","195 lbs","Boston University","USA","76223"
"EarlBoykins","DEN","6","G","5-5","133 lbs","Eastern Michigan","USA","1863"
"HarryBoykoff","WAT","16","C","6-9","225 lbs","St. John's","USA","76224"
"WinfordBoynes","BKN","6","G","6-6","185 lbs","San Francisco","USA","76225"
"CedricBozeman","ATL","6","G","6-6","207 lbs","UCLA","USA","200841"
"SteveBracey","ATL","22","G","6-1","175 lbs","Tulsa","USA","76226"
"CraigBrackins","PHI","33","F","6-10","230 lbs","Iowa State","USA","202342"
"GaryBradds","WAS","33","F","6-8","210 lbs","Ohio State","USA","76227"
"AlexBradley","NYK","30","F","6-6","215 lbs","Villanova","USA","76228"
"AlonzoBradley","HOU","22","F","6-6","190 lbs","Texas Southern","USA","76229"
"AveryBradley","LAL","20","G","6-3","180 lbs","Texas-Austin","USA","202340"
"BillBradley","NYK","24","F","6-5","205 lbs","Princeton","USA","76233"
"CharlesBradley","BOS","30","G","6-5","215 lbs","Wyoming","USA","76230"
"DudleyBradley","IND","22","G","6-6","195 lbs","North Carolina","USA","76231"
"JoeBradley","CHS","","G","6-3","175 lbs","Oklahoma State","USA","76232"
"MichaelBradley","TOR","5","F","6-10","245 lbs","Villanova","USA","2214"
"ShawnBradley","DAL","44","C","7-6","275 lbs","Brigham Young","USA","762"
"TonyBradley","CHI","13","C-F","6-10","248 lbs","North Carolina","USA","1628396"
"MarkBradtke","PHI","50","C","6-10","265 lbs","Melbourne","Australia","1361"
"MarquesBragg","MIN","33","F","6-8","230 lbs","Providence","USA","66"
"TorrayeBraggs","HOU","32","F","6-8","245 lbs","Xavier","USA","1765"
"A.J.Bramlett","CLE","47","C","6-10","227 lbs","Arizona","USA","1920"
"AdrianBranch","POR","1","F","6-7","185 lbs","Maryland","USA","76237"
"EltonBrand","LAC","42","F","6-9","254 lbs","Duke","USA","1882"
"TerrellBrandon","CLE","7","G","5-11","173 lbs","Oregon","USA","210"
"MalakiBranham","SAS","","F","6-5","180 lbs","Ohio State","USA","1631103"
"BobBrannum","BOS","18","F","6-6","215 lbs","Michigan State","USA","76238"
"BradBranson","IND","52","F","6-10","220 lbs","Southern Methodist","USA","76239"
"JesseBranson","PHI","22","F","6-7","195 lbs","Elon","USA","76240"
"JarrellBrantley","UTA","5","F","6-5","250 lbs","Charleston","USA","1629714"
"JimBrasco","ATL","15","G","6-1","170 lbs","New York University","USA","76241"
"MikeBratz","PHX","10","G","6-2","185 lbs","Stanford","USA","76242"
"CarlBraun","NYK","4","G","6-5","180 lbs","Colgate","USA","76243"
"ChristianBraun","DEN","0","G","6-6","220 lbs","Kansas","USA","1631128"
"IgnasBrazdeikis","ORL","17","F","6-6","221 lbs","Michigan","Canada","1629649"
"TimBreaux","HOU","15","F","6-7","215 lbs","Wyoming","USA","160"
"J.R.Bremer","BOS","9","G","6-2","185 lbs","St. Bonaventure","USA","2452"
"PeteBrennan","NYK","15-16","F","6-6","205 lbs","North Carolina","USA","76245"
"TomBrennan","GSW","14","F","6-3","195 lbs","Villanova","USA","76246"
"RandyBreuer","MIL","45","C","7-3","230 lbs","Minnesota","USA","76247"
"CoreyBrewer","MIN","13","G-F","6-9","188 lbs","Florida","USA","201147"
"JamisonBrewer","IND","2","G","6-4","184 lbs","Auburn","USA","2249"
"JimBrewer","CLE","8","F","6-9","210 lbs","Minnesota","USA","76248"
"RonBrewer","POR","10","G","6-4","180 lbs","Arkansas","USA","76249"
"RonnieBrewer","UTA","11","F","6-7","235 lbs","Arkansas","USA","200758"
"PrimozBrezec","CHA","9","C","7-1","255 lbs","Union Olimpija","Slovenia","2056"
"FrankBrian","DET","7","G","6-1","180 lbs","Louisiana State","USA","76250"
"FrankBrickowski","MIL","34","C-F","6-9","248 lbs","Penn State","USA","783"
"JuniorBridgeman","MIL","2","F","6-5","210 lbs","Louisville","USA","76252"
"BillBridges","ATL","32","F","6-5","228 lbs","Kansas","USA","76253"
"MikalBridges","PHX","25","F","6-6","209 lbs","Villanova","USA","1628969"
"MilesBridges","CHA","0","F","6-7","225 lbs","Michigan State","USA","1628970"
"AlBrightman","BOS","8-16","F","6-2","195 lbs","University of Charleston","USA","76254"
"AmidaBrimah","IND","37","C","6-10","230 lbs","Connecticut","USA","1628578"
"AudleyBrindley","NYK","12-15","F","6-4","175 lbs","Dartmouth","USA","76255"
"IsaiahBriscoe","ORL","13","G","6-3","215 lbs","Kentucky","USA","1628515"
"JohnBrisker","OKC","40","F","6-5","210 lbs","Toledo","USA","76256"
"OshaeBrissett","IND","12","F-G","6-7","210 lbs","Syracuse","Canada","1629052"
"AllanBristow","SAS","23","F","6-7","210 lbs","Virginia Tech","USA","76257"
"TyroneBritt","HOU","31","G","6-4","190 lbs","Johnson C. Smith","USA","76258"
"WaymanBritt","DET","12","G","6-2","185 lbs","Michigan","USA","76259"
"MikeBrittain","SAS","40","C","7-0","235 lbs","South Carolina","USA","76260"
"DavidBritton","WAS","33","G","6-4","180 lbs","Texas A&M","USA","76261"
"JonBrockman","MIL","40","F","6-7","255 lbs","Washington","USA","201972"
"RyanBroekhoff","DAL","45","G-F","6-6","215 lbs","Valparaiso","Australia","1629151"
"JimBrogan","LAC","15","G","6-4","185 lbs","West Virginia Wesleyan","USA","76262"
"MalcolmBrogdon","BOS","7","G","6-5","229 lbs","Virginia","USA","1627763"
"GaryBrokaw","MIL","7","G","6-4","178 lbs","Notre Dame","USA","76263"
"PriceBrookfield","JET","17","F","6-4","185 lbs","West Texas A&M","USA","76264"
"AaronBrooks","HOU","30","G","6-0","161 lbs","Oregon","USA","201166"
"ArmoniBrooks","TOR","1","G","6-3","195 lbs","Houston","USA","1629717"
"DillonBrooks","MEM","24","G-F","6-7","225 lbs","Oregon","Canada","1628415"
"KevinBrooks","DEN","43","F","6-6","200 lbs","Louisiana-Lafayette","USA","76265"
"MarShonBrooks","BKN","8","G-F","6-5","200 lbs","Providence","USA","202705"
"MichaelBrooks","LAC","35","F","6-7","220 lbs","La Salle","USA","76266"
"ScottBrooks","HOU","2","G","5-11","165 lbs","California-Irvine","USA","418"
"AndreBrown","OKC","44","F","6-9","245 lbs","DePaul","USA","2810"
"AnthonyBrown","LAL","3","F-G","6-7","224 lbs","Stanford","USA","1626148"
"BobBrown","DN","","F","6-4","205 lbs","Miami (Ohio)","USA","76284"
"BobbyBrown","SAC","8","G","6-2","175 lbs","Cal State-Fullerton","USA","201628"
"BruceBrown","DEN","11","G-F","6-4","202 lbs","Miami","USA","1628971"
"ChuckyBrown","CLE","52","F","6-8","220 lbs","North Carolina State","USA","359"
"DamoneBrown","PHI","25","G","6-8","202 lbs","Syracuse","USA","2245"
"DarrellBrown","BAL","","F","6-2","175 lbs","Humboldt State","USA","76270"
"DeeBrown","BOS","7","G","6-2","205 lbs","Jacksonville","USA","244"
"DeeBrown","UTA","11","G","6-0","181 lbs","Illinois","USA","200793"
"DerrickBrown","CHA","4","F","6-8","233 lbs","Xavier","USA","201974"
"DevinBrown","NOP","32","G","6-5","210 lbs","Texas-San Antonio","USA","2484"
"ErnestBrown","MIA","52","C","7-0","244 lbs","Indian Hills C.C.","USA","2081"
"FredBrown","OKC","32","G","6-3","182 lbs","Iowa","USA","76272"
"GabeBrown","TOR","","F","6-8","215 lbs","Michigan State","USA","1631122"
"GeorgeBrown","LAL","","F","6-6","190 lbs","Wayne State","USA","76273"
"GeraldBrown","PHX","4","G","6-4","210 lbs","Pepperdine","USA","1871"
"HaroldBrown","DEF","","G","6-0","155 lbs","Evansville","USA","76275"
"JabariBrown","LAL","15","G","6-5","214 lbs","Missouri","USA","203913"
"JaylenBrown","BOS","7","G-F","6-6","223 lbs","California","USA","1627759"
"JohnBrown","ATL","32-52","F","6-7","220 lbs","Missouri","USA","76276"
"KedrickBrown","BOS","5","G-F","6-7","222 lbs","Northwest Florida State","USA","2208"
"KendallBrown","IND","10","G","6-8","205 lbs","Baylor","USA","1631112"
"KwameBrown","WAS","54","C","6-11","290 lbs","Glynn Academy HS (GA)","USA","2198"
"LeonBrown","CLR","","F","6-3","190 lbs","Wyoming","USA","76278"
"LewisBrown","WAS","4","C","6-11","225 lbs","UNLV","USA","76279"
"LorenzoBrown","TOR","4","G","6-5","189 lbs","North Carolina State","USA","203485"
"MarcusBrown","POR","20","G","6-3","185 lbs","Murray State","USA","992"
"MarkelBrown","BKN","26","G","6-3","190 lbs","Oklahoma State","USA","203900"
"MikeBrown","UTA","52","C-F","6-10","260 lbs","George Washington","USA","1479"
"MosesBrown","LAC","6","C","7-2","245 lbs","UCLA","USA","1629650"
"MyronBrown","MIN","34","F","6-3","180 lbs","Slippery Rock","USA","76277"
"P.J.Brown","NOP","93","F-C","6-11","239 lbs","Louisiana Tech","USA","136"
"RandyBrown","CHI","0","G","6-2","190 lbs","New Mexico State","USA","753"
"RaymondBrown","UTA","24","F","6-8","220 lbs","Idaho","USA","76282"
"RickeyBrown","GSW","31","C","6-10","215 lbs","Mississippi State","USA","76283"
"RogerBrown","DET","35","C","6-11","225 lbs","Kansas","USA","76286"
"ShannonBrown","LAL","26","G","6-4","210 lbs","Michigan State","USA","200769"
"StanBrown","GSW","14","F","6-3","200 lbs","South Philadelphia HS (PA)","USA","76285"
"SterlingBrown","HOU","0","G-F","6-5","219 lbs","Southern Methodist","USA","1628425"
"TierreBrown","LAL","10","G","6-2","189 lbs","McNeese State","USA","2357"
"TonyBrown","MIL","21","F","6-6","185 lbs","Arkansas","USA","76268"
"GregBrown III","POR","4","F","6-7","206 lbs","Texas-Austin","USA","1630535"
"CharlieBrown Jr.","PHI","16","G","6-6","199 lbs","St. Joseph's (PA)","USA","1629718"
"ChaundeeBrown Jr.","ATL","38","F","6-5","215 lbs","Michigan","USA","1630602"
"TroyBrown Jr.","LAL","7","G-F","6-6","215 lbs","Oregon","USA","1628972"
"JimBrowne","DN","","C","6-10","235 lbs","Tilden Tech HS (IL)","USA","76287"
"StanleyBrundy","BKN","21","F","6-6","210 lbs","DePaul","USA","76288"
"JalenBrunson","NYK","13","G","6-1","190 lbs","Villanova","USA","1628973"
"RickBrunson","POR","9","G","6-4","190 lbs","Temple","USA","1594"
"NicolasBrussino","DAL","9","F","6-8","215 lbs","Penarol","Argentina","1627852"
"ElijahBryant","MIL","3","G","6-5","210 lbs","Brigham Young","USA","1629091"
"EmmetteBryant","NYK","7","G","6-1","175 lbs","DePaul","USA","76289"
"JoeBryant","PHI","22","F","6-10","185 lbs","La Salle","USA","76290"
"KobeBryant","LAL","24","F-G","6-6","212 lbs","Lower Merion HS (PA)/USA","USA","977"
"MarkBryant","POR","9","F","6-9","250 lbs","Seton Hall","USA","95"
"ThomasBryant","LAL","13","C-F","6-10","248 lbs","Indiana","USA","1628418"
"WallaceBryant","DAL","31","C","7-0","245 lbs","San Francisco","USA","76291"
"TorgeirBryn","LAC","12","F","6-9","250 lbs","Texas State","Norway","76292"
"ShaqBuchanan","MEM","","G","6-3","190 lbs","Murray State","USA","1629783"
"JoeBuckhalter","SAC","21","F","6-7","210 lbs","Tennessee State","USA","76293"
"SteveBucknall","LAL","24","F","6-6","215 lbs","North Carolina","USA","76294"
"ClevelandBuckner","NYK","12","F","6-9","210 lbs","Jackson State","USA","76295"
"GregBuckner","DAL","7","G","6-4","210 lbs","Clemson","USA","1761"
"QuinnBuckner","MIL","25","G","6-3","190 lbs","Indiana","USA","76296"
"DaveBudd","NYK","10","F","6-6","205 lbs","Wake Forest","USA","76297"
"ChaseBudinger","HOU","10","F","6-7","209 lbs","Arizona","USA","201978"
"WalterBudko","BAL","19","F","6-5","220 lbs","Columbia","USA","76298"
"JudBuechler","CHI","30","G-F","6-6","228 lbs","Arizona","USA","146"
"RodneyBuford","BKN","2","F-G","6-5","195 lbs","Creighton","USA","1934"
"MattBullard","HOU","50","F","6-10","229 lbs","Iowa","USA","672"
"ReggieBullock","DAL","25","G-F","6-6","205 lbs","North Carolina","USA","203493"
"GregBunch","NYK","30","F","6-6","190 lbs","California State-Fullerton","USA","76300"
"DickBunt","BAL","","G","6-0","170 lbs","New York University","USA","76301"
"BillBuntin","DET","17","C","6-7","250 lbs","Michigan","USA","76302"
"LutherBurden","NYK","14","G","6-2","185 lbs","Utah","USA","76303"
"PatBurke","PHX","11","C-F","6-11","250 lbs","Auburn","Ireland","2469"
"TreyBurke","HOU","3","G","6-0","185 lbs","Michigan","USA","203504"
"RogerBurkman","CHI","21","G","6-5","175 lbs","Louisville","USA","76304"
"AlecBurks","DET","18","G","6-6","214 lbs","Colorado","USA","202692"
"AntonioBurks","MEM","1","G","6-0","195 lbs","Memphis","USA","2766"
"KevinBurleson","CHA","12","G","6-3","205 lbs","Minnesota","USA","101207"
"TomBurleson","OKC","16","C","7-2","225 lbs","North Carolina State","USA","76305"
"JackBurmaster","SHE","","G","6-3","190 lbs","Illinois","USA","76306"
"DavidBurns","DEN","5","G","6-2","180 lbs","St. Louis","USA","76307"
"EversBurns","SAC","53","F","6-8","260 lbs","Maryland","USA","76308"
"JimBurns","CHI","6","G","6-3","195 lbs","Northwestern","USA","76309"
"ScottBurrell","CHA","2","G","6-7","218 lbs","Connecticut","USA","197"
"ArtBurris","ATL","15","F","6-5","220 lbs","Tennessee","USA","76311"
"JuniorBurrough","BOS","5","F","6-8","242 lbs","Virginia","USA","675"
